Date;Filière;Valeur (GW)
26/12/2019;Enveloppe basse 2014 - 2019;57,11826773
27/12/2019;Enveloppe basse 2014 - 2019;57,49258552
28/12/2019;Enveloppe basse 2014 - 2019;58,56461663
29/12/2019;Enveloppe basse 2014 - 2019;57,19343356
30/12/2019;Enveloppe basse 2014 - 2019;62,74257627
31/12/2019;Enveloppe basse 2014 - 2019;55,79186552
01/01/2019;Enveloppe basse 2014 - 2019;60,96515138
02/01/2019;Enveloppe basse 2014 - 2019;68,58748994
03/01/2019;Enveloppe basse 2014 - 2019;73,50261579
04/01/2019;Enveloppe basse 2014 - 2019;74,94576788
05/01/2019;Enveloppe basse 2014 - 2019;75,174372
06/01/2019;Enveloppe basse 2014 - 2019;74,09457673
07/01/2019;Enveloppe basse 2014 - 2019;67,92760923
08/01/2019;Enveloppe basse 2014 - 2019;65,66095625
09/01/2019;Enveloppe basse 2014 - 2019;71,9071835
10/01/2019;Enveloppe basse 2014 - 2019;73,65289113
11/01/2019;Enveloppe basse 2014 - 2019;73,58954054
12/01/2019;Enveloppe basse 2014 - 2019;74,38592431
13/01/2019;Enveloppe basse 2014 - 2019;74,3081759
14/01/2019;Enveloppe basse 2014 - 2019;67,66378215
15/01/2019;Enveloppe basse 2014 - 2019;65,35885833
16/01/2019;Enveloppe basse 2014 - 2019;73,46060025
17/01/2019;Enveloppe basse 2014 - 2019;74,30173823
18/01/2019;Enveloppe basse 2014 - 2019;73,883488
19/01/2019;Enveloppe basse 2014 - 2019;73,68597785
20/01/2019;Enveloppe basse 2014 - 2019;73,12304454
21/01/2019;Enveloppe basse 2014 - 2019;66,23642815
22/01/2019;Enveloppe basse 2014 - 2019;63,93528979
23/01/2019;Enveloppe basse 2014 - 2019;71,92383508
24/01/2019;Enveloppe basse 2014 - 2019;72,88831254
25/01/2019;Enveloppe basse 2014 - 2019;72,9492666
26/01/2019;Enveloppe basse 2014 - 2019;73,23861285
27/01/2019;Enveloppe basse 2014 - 2019;72,81078635
28/01/2019;Enveloppe basse 2014 - 2019;66,27646288
29/01/2019;Enveloppe basse 2014 - 2019;63,46804671
30/01/2019;Enveloppe basse 2014 - 2019;71,33752973
31/01/2019;Enveloppe basse 2014 - 2019;71,68744983
01/02/2019;Enveloppe basse 2014 - 2019;71,94016123
02/02/2019;Enveloppe basse 2014 - 2019;71,80598679
03/02/2019;Enveloppe basse 2014 - 2019;71,43413065
04/02/2019;Enveloppe basse 2014 - 2019;65,33299506
05/02/2019;Enveloppe basse 2014 - 2019;62,91391131
06/02/2019;Enveloppe basse 2014 - 2019;70,53765342
07/02/2019;Enveloppe basse 2014 - 2019;71,36123158
